lat,lon,loc
6.704045,121.979767,CITY OF ISABELA (BASILAN)
6.657142,122.14489,CITY OF LAMITAN (BASILAN)
6.491025,122.141718,AL-BARKA (BASILAN)
6.665133,122.195118,AKBAR (BASILAN)
6.642403,122.272217,HADJI MOHAMMAD AJUL (BASILAN)
6.6581,121.590794,HADJI MUHTAMAD (BASILAN)
6.638776,121.84072,LANTAWAN (BASILAN)
6.546658,121.870901,MALUSO (BASILAN)
6.417544,122.032108,SUMISIP (BASILAN)
6.307865,121.929578,TABUAN-LASA (BASILAN)
6.500224,122.120881,TIPO-TIPO (BASILAN)
6.60644,122.192211,TUBURAN (BASILAN)
6.495955,122.105679,UNGKAYA PUKAN (BASILAN)
14.679943,120.540788,CITY OF BALANGA (BATAAN)
14.722272,120.535426,ABUCAY (BATAAN)
14.607121,120.401998,BAGAC (BATAAN)
14.866919,120.461062,DINALUPIHAN (BATAAN)
14.830576,120.508521,HERMOSA (BATAAN)
14.561849,120.594799,LIMAY (BATAAN)
14.43585,120.490196,MARIVELES (BATAAN)
14.678425,120.265252,MORONG (BATAAN)
14.802066,120.536599,ORANI (BATAAN)
14.621198,120.576532,ORION (BATAAN)
14.668632,120.552953,PILAR (BATAAN)
14.769342,120.542375,SAMAL (BATAAN)
20.449799,121.968976,BASCO (BATANES)
20.787934,121.841769,ITBAYAT (BATANES)
20.368934,121.91393,IVANA (BATANES)
20.416368,121.947612,MAHATAO (BATANES)
20.333233,121.874156,SABTANG (BATANES)
20.350518,121.93893,UYUGAN (BATANES)
13.755966,121.05812,CITY OF BATANGAS (BATANGAS)
13.957403,121.164611,CITY OF LIPA (BATANGAS)
14.110762,121.142386,CITY OF SANTO TOMAS (BATANGAS)
14.086356,121.125721,CITY OF TANAUAN (BATANGAS)
13.934542,120.928455,AGONCILLO (BATANGAS)
13.866264,121.005907,ALITAGTAG (BATANGAS)
13.938709,120.728973,BALAYAN (BATANGAS)
14.018813,121.09424,BALETE (BATANGAS)
13.793771,121.007101,BAUAN (BATANGAS)
13.930414,120.812979,CALACA (BATANGAS)
13.832829,120.632402,CALATAGAN (BATANGAS)
13.901022,121.050065,CUENCA (BATANGAS)
13.818356,121.13199,IBAAN (BATANGAS)
14.050238,120.93292,LAUREL (BATANGAS)
13.883698,120.914136,LEMERY (BATANGAS)
14.036939,120.652511,LIAN (BATANGAS)
13.647367,121.209952,LOBO (BATANGAS)
13.748222,120.941971,MABINI (BATANGAS)
14.054275,121.154841,MALVAR (BATANGAS)
13.960392,121.114479,MATAAS NA KAHOY (BATANGAS)
14.07427,120.632452,NASUGBU (BATANGAS)
13.879715,121.213061,PADRE GARCIA (BATANGAS)
13.845708,121.206286,ROSARIO (BATANGAS)
13.878467,121.104368,SAN JOSE (BATANGAS)
13.824952,121.396636,SAN JUAN (BATANGAS)
13.85554,120.916333,SAN LUIS (BATANGAS)
13.93005,120.952297,SAN NICOLAS (BATANGAS)
13.790939,121.023983,SAN PASCUAL (BATANGAS)
13.869577,120.976292,SANTA TERESITA (BATANGAS)
13.880099,120.922785,TAAL (BATANGAS)
14.093031,121.021106,TALISAY (BATANGAS)
13.798444,121.188777,TAYSAN (BATANGAS)
13.659343,120.87247,TINGLOY (BATANGAS)
14.018736,120.730211,TUY (BATANGAS)
16.413899,120.591406,CITY OF BAGUIO (BENGUET)
16.627496,120.767652,ATOK (BENGUET)
16.783196,120.727602,BAKUN (BENGUET)
16.49154,120.830189,BOKOD (BENGUET)
16.800118,120.821946,BUGUIAS (BENGUET)
16.360313,120.677169,ITOGON (BENGUET)
16.623598,120.838004,KABAYAN (BENGUET)
16.575705,120.605564,KAPANGAN (BENGUET)
16.69351,120.652983,KIBUNGAN (BENGUET)
16.449736,120.589788,LA TRINIDAD (BENGUET)
16.857638,120.793232,MANKAYAN (BENGUET)
16.497352,120.487256,SABLAN (BENGUET)
16.392564,120.561099,TUBA (BENGUET)
16.474676,120.632694,TUBLAY (BENGUET)
11.620359,124.379389,ALMERIA (BILIRAN)
11.465558,124.47401,BILIRAN (BILIRAN)
11.473822,124.575044,CABUCGAYAN (BILIRAN)
11.570608,124.580245,CAIBIRAN (BILIRAN)
11.655706,124.53756,CULABA (BILIRAN)
11.680708,124.356836,KAWAYAN (BILIRAN)
11.776776,124.348679,MARIPIPI (BILIRAN)
11.564994,124.401428,NAVAL (BILIRAN)
9.653983,123.865501,CITY OF TAGBILARAN (BOHOL)
9.610131,123.956941,ALBURQUERQUE (BOHOL)
9.898651,124.440369,ALICIA (BOHOL)
9.743399,124.576378,ANDA (BOHOL)
9.781042,123.898812,ANTEQUERA (BOHOL)
9.622175,123.913556,BACLAYON (BOHOL)
9.75469,123.97101,BALILIHAN (BOHOL)
9.70232,124.102543,BILAR (BOHOL)
9.781398,124.147347,BATUAN (BOHOL)
10.140989,124.376992,BIEN UNIDO (BOHOL)
10.08069,124.11166,BUENAVISTA (BOHOL)
9.890663,123.871483,CALAPE (BOHOL)
9.817576,124.496312,CANDIJAY (BOHOL)
9.82075,124.197023,CARMEN (BOHOL)
9.85913,124.005567,CATIGBIAN (BOHOL)
9.962789,124.023949,CLARIN (BOHOL)
9.686866,123.921334,CORELLA (BOHOL)
9.721806,123.878296,CORTES (BOHOL)
9.891133,124.271609,DAGOHOY (BOHOL)
9.947231,124.220892,DANAO (BOHOL)
9.623498,123.856316,DAUIS (BOHOL)
9.605901,124.162484,DIMIAO (BOHOL)
9.708754,124.405542,DUERO (BOHOL)
9.614439,124.295428,GARCIA HERNANDEZ (BOHOL)
9.761678,124.487795,GUINDULMAN (BOHOL)
10.030836,124.065329,INABANGA (BOHOL)
9.651489,124.370628,JAGNA (BOHOL)
10.15003,124.153138,GETAFE (BOHOL)
9.590141,124.095674,LILA (BOHOL)
9.599685,124.009951,LOAY (BOHOL)
9.637611,124.030927,LOBOC (BOHOL)
9.805034,123.797394,LOON (BOHOL)
9.864898,124.519597,MABINI (BOHOL)
9.741185,123.842598,MARIBOJOC (BOHOL)
9.580322,123.752373,PANGLAO (BOHOL)
9.836152,124.334228,PILAR (BOHOL)
10.121821,124.553811,PRESIDENT CARLOS P. GARCIA (BOHOL)
9.912859,124.092938,SAGBAYAN (BOHOL)
9.862499,123.95629,SAN ISIDRO (BOHOL)
9.986416,124.33829,SAN MIGUEL (BOHOL)
9.702821,124.045673,SEVILLA (BOHOL)
9.808122,124.291332,SIERRA BULLONES (BOHOL)
9.687581,123.973966,SIKATUNA (BOHOL)
10.150457,124.327198,TALIBON (BOHOL)
10.079447,124.342966,TRINIDAD (BOHOL)
9.943192,123.960829,TUBIGON (BOHOL)
10.052161,124.473542,UBAY (BOHOL)
9.608011,124.207813,VALENCIA (BOHOL)
8.126756,125.125597,CITY OF  MALAYBALAY (BUKIDNON)
7.902868,125.08935,CITY OF VALENCIA (BUKIDNON)
8.312832,124.687335,BAUNGON (BUKIDNON)
8.077156,125.29932,CABANGLASAN (BUKIDNON)
7.485014,124.940972,DAMULOG (BUKIDNON)
7.611399,125.001779,DANGCAGAN (BUKIDNON)
7.681418,124.994684,DON CARLOS (BUKIDNON)
8.302258,125.000735,IMPASUG-ONG (BUKIDNON)
7.599678,124.909577,KADINGILAN (BUKIDNON)
7.740336,124.745616,KALILANGAN (BUKIDNON)
7.568965,124.985455,KIBAWE (BUKIDNON)
7.640088,125.008546,KITAOTAO (BUKIDNON)
7.999981,125.020522,LANTAPAN (BUKIDNON)
8.367063,124.686865,LIBONA (BUKIDNON)
8.533744,124.883855,MALITBOG (BUKIDNON)
8.371654,124.856465,MANOLO FORTICH (BUKIDNON)
7.780312,125.011478,MARAMAG (BUKIDNON)
7.828996,124.828896,PANGANTUCAN (BUKIDNON)
7.715148,125.11144,QUEZON (BUKIDNON)
7.916727,125.32855,SAN FERNANDO (BUKIDNON)
8.325965,124.977701,SUMILAO (BUKIDNON)
8.232118,124.60367,TALAKAG (BUKIDNON)
14.860848,120.810202,CITY OF MALOLOS (BULACAN)
14.774918,120.998692,CITY OF MEYCAUAYAN (BULACAN)
14.810382,121.047815,CITY OF SAN JOSE DEL MONTE (BULACAN)
14.927964,121.028346,ANGAT (BULACAN)
14.959394,120.899402,BALIUAG (BULACAN)
14.817465,120.908125,BALAGTAS (BULACAN)
14.793875,120.942942,BOCAUE (BULACAN)
14.794275,120.878795,BULAKAN (BULACAN)
14.953683,120.918941,BUSTOS (BULACAN)
14.913996,120.764728,CALUMPIT (BULACAN)
14.970779,121.064526,DO√±A REMEDIOS TRINIDAD (BULACAN)
14.827506,120.879003,GUIGUINTO (BULACAN)
14.836092,120.734135,HAGONOY (BULACAN)
14.774125,120.959596,MARILAO (BULACAN)
14.905,121.042359,NORZAGARAY (BULACAN)
14.709473,120.937415,OBANDO (BULACAN)
14.865628,120.958336,PANDI (BULACAN)
14.836073,120.788091,PAOMBONG (BULACAN)
14.886815,120.859877,PLARIDEL (BULACAN)
14.901291,120.848987,PULILAN (BULACAN)
15.078033,120.942671,SAN ILDEFONSO (BULACAN)
15.140405,120.977412,SAN MIGUEL (BULACAN)
14.982877,120.927842,SAN RAFAEL (BULACAN)
14.819341,120.960461,SANTA MARIA (BULACAN)
17.650559,121.753865,CITY OF TUGUEGARAO (CAGAYAN)
18.444108,121.457637,ABULUG (CAGAYAN)
17.903194,121.655493,ALCALA (CAGAYAN)
18.226262,121.555103,ALLACAPAN (CAGAYAN)
17.836355,121.722799,AMULUNG (CAGAYAN)
18.356687,121.637051,APARRI (CAGAYAN)
17.889269,121.871326,BAGGAO (CAGAYAN)
18.409846,121.51502,BALLESTEROS (CAGAYAN)
18.288775,121.832411,BUGUEY (CAGAYAN)
19.261821,121.475296,CALAYAN (CAGAYAN)
18.268499,121.683133,CAMALANIUGAN (CAGAYAN)
18.606073,121.082429,CLAVERIA (CAGAYAN)
17.561079,121.683248,ENRILE (CAGAYAN)
17.88384,121.569595,SANTO NIÑO (CAGAYAN)
18.060999,121.645819,GATTARAN (CAGAYAN)
18.261166,121.997072,GONZAGA (CAGAYAN)
17.752468,121.737671,IGUIG (CAGAYAN)
18.200175,121.662874,LAL-LO (CAGAYAN)
18.063224,121.599116,LASAM (CAGAYAN)
18.463748,121.340523,PAMPLONA (CAGAYAN)
17.626095,121.785238,PE√±ABLANCA (CAGAYAN)
17.792009,121.476813,PIAT (CAGAYAN)
17.846044,121.346309,RIZAL (CAGAYAN)
18.559802,121.234157,SANCHEZ-MIRA (CAGAYAN)
18.457477,122.142945,SANTA ANA (CAGAYAN)
18.563768,120.991164,SANTA PRAXEDES (CAGAYAN)
18.250099,121.90895,SANTA TERESITA (CAGAYAN)
17.649889,121.690422,SOLANA (CAGAYAN)
17.735001,121.455227,TUAO (CAGAYAN)
14.071271,122.96097,BASUD (CAMARINES NORTE)
14.331632,122.493782,CAPALONGA (CAMARINES NORTE)
14.092529,122.956897,DAET (CAMARINES NORTE)
14.290153,122.691527,JOSE PANGANIBAN (CAMARINES NORTE)
14.154188,122.830257,LABO (CAMARINES NORTE)
14.109912,123.009217,MERCEDES (CAMARINES NORTE)
14.279843,122.787318,PARACALE (CAMARINES NORTE)
14.037005,122.86868,SAN LORENZO RUIZ (CAMARINES NORTE)
14.180449,122.391004,SANTA ELENA (CAMARINES NORTE)
14.106703,122.873024,SAN VICENTE (CAMARINES NORTE)
14.13578,122.924482,TALISAY (CAMARINES NORTE)
14.174017,122.90774,VINZONS (CAMARINES NORTE)
13.405831,123.405959,CITY OF IRIGA (CAMARINES SUR)
13.626176,123.198758,CITY OF NAGA (CAMARINES SUR)
13.453233,123.366717,BAAO (CAMARINES SUR)
13.316386,123.240179,BALATAN (CAMARINES SUR)
13.354127,123.36478,BATO (CAMARINES SUR)
13.687082,123.199602,BOMBON (CAMARINES SUR)
13.434501,123.517423,BUHI (CAMARINES SUR)
13.469531,123.277825,BULA (CAMARINES SUR)
13.726128,123.11405,CABUSAO (CAMARINES SUR)
13.708462,123.214643,CALABANGA (CAMARINES SUR)
13.619975,123.169052,CAMALIGAN (CAMARINES SUR)
13.64713,123.171063,CANAMAN (CAMARINES SUR)
13.775192,123.862909,CARAMOAN (CAMARINES SUR)
13.921615,122.596103,DEL GALLEGO (CAMARINES SUR)
13.616731,123.141514,GAINZA (CAMARINES SUR)
13.884431,123.700778,GARCHITORENA (CAMARINES SUR)
13.694905,123.47658,GOA (CAMARINES SUR)
13.735021,123.520953,LAGONOY (CAMARINES SUR)
13.694552,123.060181,LIBMANAN (CAMARINES SUR)
13.790379,122.912879,LUPI (CAMARINES SUR)
13.661012,123.190306,MAGARAO (CAMARINES SUR)
13.595536,123.177735,MILAOR (CAMARINES SUR)
13.567778,123.180877,MINALABAC (CAMARINES SUR)
13.406342,123.373633,NABUA (CAMARINES SUR)
13.557288,123.372264,OCAMPO (CAMARINES SUR)
13.59226,123.083287,PAMPLONA (CAMARINES SUR)
13.512742,123.042041,PASACAO (CAMARINES SUR)
13.556133,123.273502,PILI (CAMARINES SUR)
13.710365,123.745112,PRESENTACION (CAMARINES SUR)
13.820115,122.79119,RAGAY (CAMARINES SUR)
13.605265,123.521959,SAG√±AY (CAMARINES SUR)
13.564738,123.144242,SAN FERNANDO (CAMARINES SUR)
13.699182,123.518216,SAN JOSE (CAMARINES SUR)
13.75782,122.976525,SIPOCOT (CAMARINES SUR)
14.022104,123.258784,SIRUMA (CAMARINES SUR)
13.621797,123.491629,TIGAON (CAMARINES SUR)
13.816209,123.337629,TINAMBAC (CAMARINES SUR)
9.123747,124.675481,CATARMAN (CAMIGUIN)
9.096277,124.785041,GUINSILIBAN (CAMIGUIN)
9.156172,124.78734,MAHINOG (CAMIGUIN)
9.24485,124.726683,MAMBAJAO (CAMIGUIN)
9.104936,124.724503,SAGAY (CAMIGUIN)
11.583411,122.752599,CITY OF ROXAS (CAPIZ)
11.340736,122.669609,CUARTERO (CAPIZ)
11.394408,122.686214,DAO (CAPIZ)
11.306191,122.623324,DUMALAG (CAPIZ)
11.262309,122.687154,DUMARAO (CAPIZ)
11.521059,122.692681,IVISAN (CAPIZ)
11.408961,122.50937,JAMINDAN (CAPIZ)
11.387374,122.780876,MA-AYON (CAPIZ)
11.429811,122.597463,MAMBUSAO (CAPIZ)
11.555556,122.793259,PANAY (CAPIZ)
11.462976,122.768488,PANITAN (CAPIZ)
11.487869,122.997287,PILAR (CAPIZ)
11.481859,122.832332,PONTEVEDRA (CAPIZ)
